story,story_height,omega_1_floor,omega_2_floor,omega_1_seismic,omega_2_seismic,floor_area,outerwall_length
8,3.9,13.5,1,12.8,1,465,93
7,3.9,13.5,1,12.8,1,465,93
6,3.9,9.4,1,8.4,1,465,93
5,3.9,8.4,1,7.4,1,465,93
4,3.9,8.5,1,7.5,1,465,93
3,3.9,8.5,1,7.5,1,465,93
2,3.9,8.5,1,7.5,1,465,93
1,4.1,8.5,1,7.5,1,465,93
