Story,Story_height,omega_1_floor,omega_2_floor,omega_1_seismic,omega_2_seismic,floor_area,outerwall_length
8,3.5,13.5,1.1000000000000001,12.800000000000001,1.1000000000000001,506.33999999999997,93.0
7,4.5,9.4000000000000004,1.1000000000000001,8.4000000000000004,1.1000000000000001,506.33999999999997,93.0
6,4.5,8.4000000000000004,1.1000000000000001,7.4000000000000004,1.1000000000000001,506.33999999999997,93.0
5,4.5,8.5,1.1000000000000001,7.5,1.1000000000000001,506.33999999999997,93.0
4,4.5,8.5,1.1000000000000001,7.5,1.1000000000000001,506.33999999999997,93.0
3,4.5,8.5,1.1000000000000001,7.5,1.1000000000000001,506.33999999999997,93.0
2,4.5,8.5,1.1000000000000001,7.5,1.1000000000000001,506.33999999999997,93.0
1,4.5,8.8000000000000007,1.1000000000000001,7.7999999999999998,1.1000000000000001,506.33999999999997,93.0
