<beam_data>
No,i,j,length,I,K,phai,stiff_ratio,Ci,Cj,category,direction,story,M0,Q0,unit_weight,weight,Z,Zp,B,H,t1,t2,init_group,Mp,M_Lx,M_Lx0,M_Ly,M_Ly0,M_Sx,M_Sy,Q_Lx,Q_Ly,Q_Sx,Q_Sy,N_Lx,N_Ly,N_Sx,N_Sy,ML,QL,Ms,Qs
16,12,13,7.699999999999999,0,13.10569106,1.5,0.1310569106,225.31162499999985,225.31162499999985,BB,X,1,337.96743749999973,87.78374999999993,0,0,0,0,0,0,0,0,[],[],[-250.60876921  207.99954118],0,[],[],"[0, 0]","[0, 0]","[93.31741597728256, 82.25008402271729]",[],0.0,0.0,[],[],[],[],250.60876920663543,93.31741597728256,250.60876920663543,93.31741597728256
17,13,14,7.699999999999999,0,13.10569106,1.5,0.1310569106,225.3116249999996,225.3116249999996,BB,X,1,337.96743749999945,87.78374999999993,0,0,0,0,0,0,0,0,[],[],[-203.36568753  278.53052337],0,[],[],"[0, 0]","[0, 0]","[78.02208300698946, 97.54541699301039]",[],0.0,0.0,[],[],[],[],278.53052337420195,78.02208300698946,278.53052337420195,97.54541699301039
18,14,15,7.700000000000003,0,13.10569106,1.5,0.1310569106,225.311625,225.311625,BB,X,1,337.9674375,87.78374999999993,0,0,0,0,0,0,0,0,[],[],[-264.7415427    61.95993032],0,[],[],"[0, 0]","[0, 0]","[114.11902433475812, 61.44847566524173]",[],0.0,0.0,[],[],[],[],264.7415427004039,114.11902433475812,264.7415427004039,114.11902433475812
19,3,8,7.2,0,13.10569106,1.5,0.1310569106,480.2489999999995,480.2489999999995,BB,Y,1,720.3734999999992,200.10374999999976,0,0,0,0,0,0,0,0,[],[],[],[],[-114.22046272  598.9581281 ],0,"[0, 0]","[0, 0]",[],"[132.77907425302982, 267.4284257469697]",0.0,0.0,[],[],[],[],598.9581280994163,132.77907425302982,598.9581280994163,267.4284257469697
20,8,13,7.2,0,13.10569106,1.5,0.1310569106,480.2489999999995,480.2489999999995,BB,Y,1,720.3734999999992,200.10374999999976,0,0,0,0,0,0,0,0,[],[],[],[],[-601.66552873  366.02622362],0,"[0, 0]","[0, 0]",[],"[232.83143126586276, 167.37606873413677]",0.0,0.0,[],[],[],[],601.6655287313819,232.83143126586276,601.6655287313819,232.83143126586276
21,13,18,2.9999999999999982,0,13.10569106,1.5,0.1310569106,205.67249999999967,205.67249999999967,BB,Y,1,308.5087499999995,205.6724999999998,0,0,0,0,0,0,0,0,[],[],[],[],[-332.2188305    59.60886304],0,"[0, 0]","[0, 0]",[],"[296.54248915382567, 114.8025108461739]",0.0,0.0,[],[],[],[],332.2188304985856,296.54248915382567,332.2188304985856,296.54248915382567
22,16,17,6.0,0,13.10569106,1.2,0.1310569106,45.562500000000014,45.562500000000014,BB,X,1,68.34375000000003,22.781250000000007,0,0,0,0,0,0,0,0,[],[],[-13.68217325  64.31759201],0,[],[],"[0, 0]","[0, 0]","[14.342013540913698, 31.220486459086317]",[],0.0,0.0,[],[],[],[],64.31759200770435,14.342013540913698,64.31759200770435,31.220486459086317
23,17,18,7.699999999999999,0,13.10569106,1.2,0.1310569106,80.56125000000002,80.56125000000002,BB,X,1,120.84187500000002,31.3875,0,0,0,0,0,0,0,0,[],[],[-78.99543369  78.06302534],0,[],[],"[0, 0]","[0, 0]","[31.508591993675456, 31.266408006324543]",[],0.0,0.0,[],[],[],[],78.99543369423532,31.508591993675456,78.99543369423532,31.508591993675456
24,18,19,7.699999999999999,0,13.10569106,1.2,0.1310569106,80.56124999999987,80.56124999999987,BB,X,1,120.8418749999998,31.387499999999967,0,0,0,0,0,0,0,0,[],[],[-74.86593751  98.5141406 ],0,[],[],"[0, 0]","[0, 0]","[28.31630479287548, 34.45869520712446]",[],0.0,0.0,[],[],[],[],98.51414060320428,28.31630479287548,98.51414060320428,34.45869520712446
25,19,20,7.700000000000003,0,13.10569106,1.2,0.1310569106,80.56125000000014,80.56125000000014,BB,X,1,120.84187500000024,31.38750000000003,0,0,0,0,0,0,0,0,[],[],[-94.48770897  22.49786334],0,[],[],"[0, 0]","[0, 0]","[40.73683060166744, 22.03816939833262]",[],0.0,0.0,[],[],[],[],94.48770897269495,40.73683060166744,94.48770897269495,40.73683060166744
26,4,9,7.2,0,13.10569106,1.5,0.1310569106,480.2490000000003,480.2490000000003,BB,Y,1,720.3735000000005,200.10375000000013,0,0,0,0,0,0,0,0,[],[],[],[],[-114.22046272  598.9581281 ],0,"[0, 0]","[0, 0]",[],"[132.77907425303005, 267.4284257469702]",0.0,0.0,[],[],[],[],598.9581280994174,132.77907425303005,598.9581280994174,267.4284257469702
27,9,14,7.2,0,13.10569106,1.5,0.1310569106,480.2490000000003,480.2490000000003,BB,Y,1,720.3735000000005,200.10375000000013,0,0,0,0,0,0,0,0,[],[],[],[],[-601.66552873  366.02622362],0,"[0, 0]","[0, 0]",[],"[232.83143126586316, 167.3760687341371]",0.0,0.0,[],[],[],[],601.6655287313828,232.83143126586316,601.6655287313828,232.83143126586316
28,14,19,2.9999999999999982,0,13.10569106,1.5,0.1310569106,205.6725,205.6725,BB,Y,1,308.50875,205.67250000000016,0,0,0,0,0,0,0,0,[],[],[],[],[-332.2188305    59.60886304],0,"[0, 0]","[0, 0]",[],"[296.5424891538262, 114.8025108461741]",0.0,0.0,[],[],[],[],332.21883049858616,296.5424891538262,332.21883049858616,296.5424891538262
29,5,10,7.2,0,13.10569106,1.2,0.1310569106,120.06225000000008,120.06225000000008,BB,Y,1,180.09337500000012,50.02593750000003,0,0,0,0,0,0,0,0,[],[],[],[],[-29.35462644 148.94822391],0,"[0, 0]","[0, 0]",[],"[33.415715629205124, 66.63615937079494]",0.0,0.0,[],[],[],[],148.9482239105331,33.415715629205124,148.9482239105331,66.63615937079494
30,10,15,7.2,0,13.10569106,1.2,0.1310569106,120.06225000000008,120.06225000000008,BB,Y,1,180.09337500000012,50.02593750000003,0,0,0,0,0,0,0,0,[],[],[],[],[-149.5837272    93.95497135],0,"[0, 0]","[0, 0]",[],"[57.752153590372004, 42.29972140962806]",0.0,0.0,[],[],[],[],149.58372719626757,57.752153590372004,149.58372719626757,57.752153590372004
31,15,20,2.9999999999999982,0,13.10569106,1.2,0.1310569106,55.5946875,55.5946875,BB,Y,1,83.39203125,55.59468750000002,0,0,0,0,0,0,0,0,[],[],[],[],[-86.14048673  17.19616915],0,"[0, 0]","[0, 0]",[],"[78.57612669296856, 32.61324830703148]",0.0,0.0,[],[],[],[],86.1404867304865,78.57612669296856,86.1404867304865,78.57612669296856
32,21,22,6.0,0.00176575,353.15000000000003,1.2,0.2563566298342541,60.912000000000006,60.912000000000006,nan,X,2,91.36800000000001,30.456000000000003,1.196693791340565,7.18016274804339,0.005885835,0.006640441,300.0,600.0,16.0,32.0,[],2158.143325,[-52.99289258  66.68266239],84.52311509637484,[],[],"[928.7170892140848, 909.6845304936932]","[0, 0]","[28.174371698791614, 32.73762830120839]",[],306.40026995129637,0.0,[],[],[],[],84.52311509637484,28.174371698791614,981.7099817922686,339.1378982525048
