No,H,B,t1,t2,r,F,A,Ix,Z,Zp,unit_m
1,350,175,7,11,13,235,0.006291071,0.000135,0.000771431,0.000864217,49.38490611
2,400,200,8,13,13,235,0.008337071,0.000234566,0.001172831,0.001312659,65.44600611
3,450,200,9,14,13,235,0.009543071,0.000328873,0.001461656,0.001651677,74.91310611
4,500,200,10,16,13,235,0.011225071,0.000468114,0.001872456,0.002129885,88.11680611
5,588,300,12,20,13,235,0.018721071,0.001143501,0.00388946,0.00434824,146.9604061
6,700,300,13,24,18,235,0.023154124,0.001974907,0.00564259,0.006338338,181.7598732
7,800,300,14,26,18,235,0.026350124,0.00286361,0.007159025,0.008098363,206.8484732
8,900,300,16,28,18,235,0.030582124,0.004044919,0.00898871,0.010290393,240.0696732
